SOURCE_DISPLAY_NAME,SOURCE_DRIVER_CLASS,SOURCE_JDBC_URL,SOURCE_USERNAME,SOURCE_ODBC_DSN,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_CATALOG,SOURCE_TABLE,SOURCE_COLUMN,TARGET_DISPLAY_NAME,TARGET_DRIVER_CLASS,TARGET_JDBC_URL,TARGET_USERNAME,TARGET_ODBC_DSN,TARGET_DATABASE,TARGET_SCHEMA,TARGET_CATALOG,TARGET_TABLE,TARGET_COLUMN
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","code_exp"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","annee_observation"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","id_chef_exploitation"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","superficie_tot"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","localisation_exploitation"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","montant_epargne_monetaire"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","emission_gaes"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","consommation_eau"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","consommation_energie_fossile"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","exploitation","revenu_monetaire_agricole"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","id_individu"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","nom"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","prenom"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","sexe"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","scolarise"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","niveau_scolarisation"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","apprentissage_pro"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","date_naissance"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","individu","alphabetise"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","en_menage","code_exp"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","en_menage","annee_observation"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","en_menage","code_menage"
